address,national_phone,lat,lon,rating,google_maps_uri,website,user_rating_count,name,primary_type_display,price_level
"Rumeli Hisarı, HİSARÜSTÜ NİSPETİYE CADDESİ 27-29, 34470 Sarıyer/İstanbul",444 1 034,41.0854892,29.0471329,4.6,https://maps.google.com/?cid=10174644287691108061,https://tesislerimiz.ibb.istanbul/hisarustu-kent-lokantasi/,192.0,Hisarüstü Kent Lokantası,Restoran,₺
"Bebek, Küçük Bebek Cd. No:15-17, 34342 Beşiktaş/İstanbul",0552 661 95 71,41.0795033,29.044887400000004,4.6,https://maps.google.com/?cid=5812693171161524625,http://www.seasonbakery.com/,325.0,SEASON Artisan Bakery,Fırın,
"Boğaziçi Üniversitesi Güney Kampüsü, Bebek, 34342 Beşiktaş/İstanbul",(0212) 359 70 90,41.0837112,29.054291600000003,4.7,https://maps.google.com/?cid=14718293570371651738,https://sosyaltesisler.boun.edu.tr/,525.0,Kennedy Lodge,Restoran,₺₺
"Konaklar, Akçam Cd No:17 D:F, 34330 Beşiktaş/İstanbul",(0212) 270 03 00,41.0870188,29.0100169,4.7,https://maps.google.com/?cid=5957603933650524224,http://www.sayanbaklava.com/,138.0,Şayan Baklava,Tatlı,
"Konaklar, Akçam Cd no:13/b, 34330 Beşiktaş/İstanbul",(0212) 703 25 80,41.086999,29.009464,4.6,https://maps.google.com/?cid=7103427299611155887,http://www.babazadebaklava.com/,117.0,"Babazade Baklava - Baklava, Kadayıf, Katmer Üreticisi",Tatlı,
"Fatih Sultan Mehmet, Atatürk Cd. No:1/1, 34470 Sarıyer/İstanbul",0544 227 22 22,41.0924911,29.0345475,4.7,https://maps.google.com/?cid=6696396145545749071,,208.0,Oliva İstanbul,İtalyan Mutfağı,
"Rumeli Hisarı, Nisbetiye Cd No:151, 34470 Sarıyer/İstanbul",(0212) 287 23 10,41.0898446,29.049725,4.6,https://maps.google.com/?cid=750966649735668961,,384.0,Hisar İspendek Balık,Deniz Mahsulleri,
"Rumeli Hisarı, Cami Sk. No:40, 34470 Beşiktaş/İstanbul",0533 043 20 34,41.0871502,29.0458823,4.5,https://maps.google.com/?cid=7013794053726391149,,175.0,Ekin Cafe,Çay/Kahve,
"Rumeli Hisarı, Yahya Kemal Cd. No: 8, 34450 Sarıyer/İstanbul",444 8 464,41.0879411,29.056578400000003,4.5,https://maps.google.com/?cid=16710692524691038202,https://www.espressolab.com/,807.0,Espressolab Rumeli Hisarı,Çay/Kahve,₺₺
"Hamidiye mah. Selvi cad. Işık sok, Çamlı, Vadi sitesi No:5, 34408 Kağıthane/İstanbul",(0212) 430 00 08,41.1021019,28.9610279,4.6,https://maps.google.com/?cid=5711753721458191452,,479.0,Kemal Koçak Restaurant İstanbul,Restoran,
"Reşitpaşa, 34467 Sarıyer/İstanbul",0530 428 82 52,41.102077,29.039222299999995,4.6,https://maps.google.com/?cid=5004556110960270408,https://vintagegarden.com.tr/,111.0,Vintage Garden Cafe & Çakabey Event,Çay/Kahve,
"Emirgan, Fırın Sk. No:36/A, 34467 Sarıyer/İstanbul",(0212) 229 32 04,41.1002715,29.0517262,4.8,https://maps.google.com/?cid=4383958895939404488,,117.0,Cafe boyacıköy,Çay/Kahve,
"Reşitpaşa, Posta Yolu Cd., 34467 Sarıyer/İstanbul",(0212) 229 33 38,41.103295,29.047114200000003,4.5,https://maps.google.com/?cid=3790500213253006941,,100.0,Çiçek Börek,Fırın,
"6/A, Emirgan, Hekim Ata Cd., 34467 Sarıyer/İstanbul",(0212) 277 00 11,41.1014737,29.0547414,4.7,https://maps.google.com/?cid=1260575606984040057,,107.0,Çınar Büfe,Büfe,
"Ayazağa, Kemerburgaz Cd., 34475 Sarıyer/İstanbul",0542 554 66 68,41.1124622,28.9873791,4.7,https://maps.google.com/?cid=795353076399291551,https://meatmoot.com.tr/,2237.0,Meat Moot Restaurant - Vadistanbul,Restoran,
"Ayazağa, Azerbaycan Cd. Vadistanbul No: 3 C iç kapı no: 169, 34475 Sarıyer/İstanbul",(0212) 291 01 01,41.1082002,28.9865104,4.5,https://maps.google.com/?cid=14291822558694845287,https://www.gurkansef.com/,200.0,Steak Food By Gürkan Şef Vadistanbul,Restoran,
"no 10/b, Huzur, Cumhuriyet Cd., 34475 Sarıyer/İstanbul",(0212) 283 28 30,41.1084506,28.9997285,4.5,https://maps.google.com/?cid=7242404545329353429,http://www.pizzaraffaele.com/,107.0,Pizza Raffaele Seyrantepe,Pizza,
"Maslak, Eski Büyükdere Cd. No:17-19 Kat:1, 34398 Sarıyer/İstanbul",444 8 464,41.108724200000005,29.017368200000003,4.6,https://maps.google.com/?cid=5292623470838755599,https://www.espressolab.com/,193.0,Espressolab Maslak Kapital,Çay/Kahve,₺₺
"Reşitpaşa, Trafo Sokağı No:19, 34467 Sarıyer/İstanbul",0535 894 50 80,41.1099003,29.0364483,4.7,https://maps.google.com/?cid=10723091901687049064,https://instagram.com/zeytingardenbreakfast?igshid=MzRlODBiNWFlZA==,992.0,Zeytin Garden Breakfast,Kahvaltı,
"Reşitpaşa, Tuncay Artun Cd. No:139, 34467 Sarıyer/İstanbul",(0212) 277 77 72,41.1104199,29.040588600000003,4.9,https://maps.google.com/?cid=9815091173543007015,https://www.adabmeyhanesi.com/,127.0,ADAB Eski Usûl Meyhane,Bar,
"Reşitpaşa, Kongre Cd. No:15/A, 34467 Sarıyer/İstanbul",0533 607 42 42,41.1091758,29.0405603,4.9,https://maps.google.com/?cid=9927508049819293630,https://www.heriseistanbul.com.tr/,261.0,Herise İstanbul,Restoran,
"Reşitpaşa, Emirgan Sk. 30/B, 34467 Sarıyer/İstanbul",0533 931 93 66,41.1047868,29.0477117,4.5,https://maps.google.com/?cid=17578549178172843306,,456.0,Havan`dan İstanbul,Restoran,₺₺₺
"Reşitpaşa, Tuncay Artun Cd. No:78/A, 34467 Sarıyer/İstanbul",0534 773 55 87,41.1104218,29.041739,4.9,https://maps.google.com/?cid=14404853635826463766,,171.0,Sector Cocktail Bar,Bar,
"Emirgan, Kalamış Sk. No:1, 34467 Sarıyer/İstanbul",(0212) 277 06 66,41.1071393,29.0571743,4.7,https://maps.google.com/?cid=13245335338735762692,https://www.huqqa.com/tr/emirgan-huqqa/,8691.0,HuQQa Emirgan | Türkiye'deki En İyi Nargile,,₺₺₺
"Maslak, Atatürk Oto Sanayi Sitesi 2. Kısım 14. Sokak No:508 Üst Katlar, Maslak, 34485 Sarıyer/İstanbul",0554 949 77 79,41.1161874,29.0164789,4.5,https://maps.google.com/?cid=15562272673880097514,https://www.instagram.com/trifazsanayi/,230.0,Trifaz,Restoran,
"Maslak mah. Taşyoncası sk. Maslak 1453 1AB B3, Maslak, 1453 Cd NO 1 AB İç kapı No: Z5, 34398 Sarıyer/İstanbul",0506 032 84 32,41.1198394,29.0093525,4.6,https://maps.google.com/?cid=15399436377127938527,,462.0,Hungry Birds,Restoran,
"Maslak Mahallesi. Atatürk Oto Sanayi Sitesi 2.Kısım Sokak No: 35 Bina No:1450, Maslak, 34398 Sarıyer/İstanbul",0542 112 05 40,41.1198984,29.021629399999995,4.5,https://maps.google.com/?cid=12828976669192218054,https://instagram.com/sanayibahce?igshid=14mcx57d8ez3a,459.0,Sanayi Bahçe,Restoran,
"Atatürk Oto Sanayisi 2.Kısım, Maslak, 27. Sk. No:1077, 34368 Sarıyer/İstanbul",(0212) 276 05 02,41.1164782,29.0189316,4.6,https://maps.google.com/?cid=4581244202452583548,,158.0,Etibol Döner Maslak,Türk Mutfağı,₺₺
"Pınar, Çamlıbel Cd. No:100/A, 34460 Sarıyer/İstanbul",0530 546 45 39,41.116292,29.033505400000003,4.7,https://maps.google.com/?cid=15039284743671186082,,140.0,Emmy Burger,Hamburger,
